race_code,bamei,win_prob,tansho_odds,ev,tansho,fukusho,umaren,sanrenpuku,total_bet
2026010406010103,エアサロメ,0.9871,8.3,7.193,500,500,0,0,1000
2026010406010105,ナイスプレーアスク,0.5822,13.2,6.686,300,300,300,200,1100
2026010406010106,トップオブザライン,0.9952,15.9,14.823,500,500,0,0,1000
2026010406010107,バタール,0.978,1.6,0.565,0,0,500,0,500
2026010406010108,パレスドフィーヌ,0.5277,5.8,2.061,0,500,500,0,1000
2026010406010109,アスクデビューモア,0.5454,11.0,5.0,300,300,300,100,1000
2026010406010110,リゾートアイランド,0.7116,2.3,0.637,0,0,500,0,500
2026010406010111,カラマティアノス,0.419,14.8,5.201,200,200,200,200,800
2026010406010112,スリーピース,0.5428,8.2,3.451,400,400,200,0,1000
2026010408010102,リアライズグリント,0.8655,1.5,0.298,0,0,500,0,500
2026010408010103,オプティモ,0.5837,15.9,8.28,300,300,300,100,1000
2026010408010104,ペイシャプル,0.8748,5.1,3.462,0,500,0,0,500
2026010408010105,タイキルッジェーロ,0.9815,170.6,166.449,500,500,100,0,1100
2026010408010106,ジュウリョクピエロ,0.9952,55.6,54.335,200,200,200,200,800
2026010408010107,キャットテイル,0.842,24.6,19.714,200,200,200,200,800
2026010408010108,イマージョン,0.6753,3.4,1.296,0,0,500,0,500
2026010408010109,グランドプラージュ,0.9742,1.3,0.266,0,0,500,0,500
2026010408010111,ブエナオンダ,0.3981,7.8,2.105,0,500,500,0,1000
2026010408010112,ブルクトーア,0.6159,3.9,1.402,0,0,500,0,500
2026010506010201,ヴァイオスペース,0.9741,5.9,4.747,0,500,100,0,600
2026010506010202,ラングドシャ,0.9893,5.0,3.947,0,500,0,0,500
2026010506010204,キャストロププ,0.6635,1.5,-0.005,0,0,500,0,500
2026010506010206,キンググローリー,0.7081,29.5,19.888,200,200,200,200,800
2026010506010207,フロレセール,0.5754,2.7,0.554,0,0,500,0,500
2026010506010208,コンテナワールド,0.5931,22.6,12.405,300,300,300,0,900
2026010506010209,オーケーバーディー,0.9513,15.9,14.126,300,300,300,100,1000
2026010508010201,ルージュビバーチェ,0.9102,12.2,10.104,300,300,300,100,1000
2026010508010202,エドウィンナルコ,0.9934,2.2,1.186,0,0,500,0,500
2026010508010204,メルカントゥール,0.5257,4.3,1.26,0,0,500,0,500
2026010508010205,サイモンシャリオ,0.5987,12.0,6.185,300,300,300,0,900
2026010508010206,ベルサンローラン,0.6492,17.5,10.362,500,500,0,0,1000
2026010508010207,ルクスフレンジー,0.9835,99.7,97.057,200,200,200,200,800
2026010508010208,イリフィ,0.5868,5.7,2.345,0,500,500,0,1000
2026010508010209,レディーミコノス,0.6223,2.7,0.68,0,0,500,0,500
2026010508010210,ゼットエール,0.3554,1.7,-0.396,0,0,500,0,500
2026011006010303,コックピットサイト,0.9842,3.3,2.248,0,0,100,0,100
2026011006010304,ガーヴィ,0.9606,13.8,12.256,300,300,300,0,900
2026011006010305,ランザワールド,0.7016,6.1,3.28,0,500,500,0,1000
2026011006010306,ニシノブレイゼスト,0.63,4.0,1.52,0,0,500,0,500
2026011006010308,エクリプスルバン,0.2965,3.7,0.097,0,0,500,0,500
2026011006010310,ストレイトトーカー,0.6471,2.9,0.876,0,0,500,0,500
2026011006010312,ペッパーミル,0.2696,12.6,2.397,200,200,200,200,800
2026011008010302,ロックバンド,0.741,4.1,2.038,0,0,500,0,500
2026011008010303,ワイドグンサ,0.6385,6.4,3.086,0,500,0,0,500
2026011008010304,タガノアバンドーネ,0.9858,5.9,4.816,0,500,500,0,1000
2026011008010305,ダンデノン,0.8494,22.8,18.366,300,300,300,0,900
2026011008010306,ガウディ,0.6454,6.2,3.002,0,500,0,0,500
2026011008010307,ヒラボクカレラ,0.5185,5.7,1.955,0,500,500,0,1000
2026011008010308,シホノスペランツァ,0.7979,4.8,2.83,0,0,500,0,500
2026011008010309,モズカトレア,0.845,1.3,0.099,0,0,500,0,500
2026011008010310,ジャスパーディビネ,0.5556,4.8,1.667,0,0,500,0,500
2026011008010312,サーナーティオン,0.4769,3.4,0.622,0,0,500,0,500
2026011106010402,ノーブルクラウド,0.8782,8.2,6.201,500,500,100,0,1100
2026011106010404,エコロシード,0.7262,2.8,1.033,0,0,500,0,500
2026011106010405,エスシービクトリア,0.3173,50.1,14.897,500,500,0,0,1000
2026011106010406,グランアルト,0.6736,9.5,5.399,500,500,0,0,1000
2026011106010408,クライスレリアーナ,0.5178,1.4,-0.275,0,0,500,0,500
2026011106010410,カゼノランナー,0.681,14.3,8.739,200,200,200,200,800
2026011106010411,ギリーズボール,0.5886,4.2,1.472,0,0,500,0,500
2026011108010402,ハッピーラブソング,0.9946,40.8,39.579,500,500,0,0,1000
2026011108010403,ウルスツイスター,0.9911,8.7,7.623,300,300,300,0,900
2026011108010404,レッドファーロ,0.519,4.9,1.543,0,0,500,0,500
2026011108010406,サンライズバレット,0.1788,8.1,0.448,200,500,0,0,700
2026011108010407,ロールザダイス,0.5725,8.3,3.752,300,300,300,0,900
2026011108010409,キーチパルフェ,0.7465,5.7,3.255,0,500,500,0,1000
2026011108010410,ベラジオボンド,0.4854,6.0,1.912,0,500,0,0,500
2026011108010411,ヤブサメ,0.2551,3.6,-0.081,0,0,500,0,500
2026011206010503,ジェイエルモーダル,0.6394,11.7,6.481,500,500,0,0,1000
2026011206010504,ヒットアンドロール,0.492,20.7,9.185,400,400,200,0,1000
2026011206010505,スローモーション,0.9826,27.4,25.923,300,300,300,100,1000
2026011206010508,ヒシアイラ,0.9764,2.4,1.343,0,0,500,0,500
2026011206010509,ファイアトリック,0.4105,7.3,1.997,0,500,500,0,1000
2026011206010510,ドラゴンウェルズ,0.7253,2.2,0.596,0,0,500,0,500
2026011206010511,カピリナ,0.2686,6.9,0.853,0,500,0,0,500
2026011206010512,キャピタルリッチ,0.4977,20.5,9.202,200,200,200,200,800
2026011208010503,フェスティヴドレス,0.6463,6.7,3.331,0,500,500,0,1000
2026011208010506,レディゴディヴァ,0.7125,6.6,3.703,0,500,0,0,500
2026011208010507,メイケイレイン,0.663,7.3,3.84,0,500,500,0,1000
2026011208010508,グレイルクエスト,0.1688,7.0,0.182,0,400,400,0,800
2026011208010510,モックモック,0.5646,4.7,1.653,0,0,500,0,500
2026011208010511,サンダーストラック,0.4433,19.5,7.645,200,200,200,200,800
2026011208010512,ケールハイム,0.792,10.3,7.158,200,200,200,200,800
2026011706010603,ガムラスタン,0.9612,14.4,12.841,500,500,0,0,1000
2026011706010605,レダアトミカ,0.6938,3.7,1.567,0,0,400,0,400
2026011706010606,ホーリーブライト,0.2813,40.0,10.25,300,300,300,200,1100
2026011706010607,クリフハンガー,0.1225,12.3,0.507,100,400,300,0,800
2026011706010608,ゴールドハンマー,0.366,5.8,1.123,0,500,500,0,1000
2026011706010609,アメティスタ,0.7527,3.5,1.635,0,0,500,0,500
2026011706010610,チュウワクリスエス,0.3524,6.7,1.361,0,500,500,0,1000
2026011706010612,カンシン,0.3425,5.8,0.986,0,500,0,0,500
2026011708010601,リアライズグリント,0.8873,1.1,-0.024,0,0,100,0,100
2026011708010602,グラスゴー,0.6603,5.7,2.764,0,500,0,0,500
2026011708010604,ホウショウルクス,0.8272,6.8,4.625,0,500,0,0,500
2026011708010607,レーティッシュ,0.5426,4.5,1.442,0,0,500,0,500
2026011708010610,リリージョワ,0.9094,1.6,0.455,0,0,500,0,500
2026011708010611,エストレヤデベレン,0.5239,6.3,2.301,0,500,500,0,1000
2026011708010612,カズミクラーシュ,0.5807,21.6,11.544,200,200,200,200,800
2026011806010701,マーガレットクレア,0.6249,13.1,7.186,500,500,0,0,1000
2026011806010702,デルマホダカ,0.4086,13.9,4.679,500,500,0,0,1000
2026011806010704,アスクオンディープ,0.395,3.1,0.225,0,0,500,0,500
2026011806010705,サンプレクス,0.9539,6.4,5.105,0,500,0,0,500
2026011806010706,リラゲイル,0.976,6.9,5.734,0,500,0,0,500
2026011806010707,フィーリウス,0.589,15.4,8.071,200,200,200,200,800
2026011806010708,レディーフランシス,0.7778,5.8,3.511,0,500,0,0,500
2026011806010709,ポルカリズム,0.1841,9.1,0.675,200,400,400,0,1000
2026011806010710,ジョーローリット,0.2588,17.9,3.633,300,300,300,200,1100
2026011806010711,マテンロウゲイル,0.4206,11.1,3.669,200,200,200,200,800
2026011808010701,オンザノアール,0.6273,5.0,2.136,0,500,500,0,1000
2026011808010703,カフジクロミエ,0.2767,15.0,3.15,500,500,0,0,1000
2026011808010704,カネコメブライト,0.5822,29.5,16.175,200,200,200,200,800
2026011808010706,マゲバスピード,0.5953,3.0,0.786,0,0,500,0,500
2026011808010707,オリーブグリーン,0.6679,2.3,0.536,0,0,500,0,500
2026011808010709,スニーカースキル,0.311,17.9,4.567,200,200,200,200,800
2026011808010711,ゲルチュタール,0.7173,2.3,0.65,0,0,500,0,500
2026011808010712,レッドフェルメール,0.4451,1.2,-0.466,0,0,500,0,500
2026012406010801,ムーンブランシュ,0.7041,1.9,0.338,0,0,100,0,100
2026012406010802,スノースコール,0.992,5.0,3.96,0,500,100,0,600
2026012406010804,テイクオンミー,0.9967,23.3,22.224,500,500,100,0,1100
2026012406010805,ミッキーファルコン,0.6628,3.8,1.519,0,0,500,0,500
2026012406010807,ルーフオブヘヴン,0.523,18.7,8.781,200,200,200,200,800
